 Mach Number,,,,,, Cd Rocket - (Unpowered) Cd - Rocket (Powered), Body Skin Friction,,,Nose Pressure Drag,,,Base Drag,,,,,,, Body Pressure Drag,,,Interference Drag,,, Fin Skin Friction,,,
 0.00000000000000E+0000,2.23373376165841E-0001,2.06182468250681E-0001,1.16112320050325E-0001,0.00000000000000E+0000,8.51057384974883E-0002,2.21553176180269E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 4.50000000000000E-0002,1.99044333094540E-0001,1.78615055486087E-0001,8.22185681629776E-0002,0.00000000000000E+0000,1.01137692460349E-0001,1.56880724712128E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 9.00000000000000E-0002,1.89511376213562E-0001,1.65226392791171E-0001,5.81835618821282E-0002,0.00000000000000E+0000,1.20225846055475E-0001,1.11019682759586E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 1.35000000000000E-0001,1.89620901134311E-0001,1.62748212656195E-0001,4.75175116859924E-0002,0.00000000000000E+0000,1.33036603396975E-0001,9.06678605134387E-0003,0.00000000000000E+0000,0.00000000000000E+0000 
 1.80000000000000E-0001,1.93805470905461E-0001,1.71971321056183E-0001,7.19785933832456E-0002,0.00000000000000E+0000,1.08092688097584E-0001,1.37341894246315E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 2.25000000000000E-0001,1.93580001872339E-0001,1.71666969548582E-0001,7.14613094221015E-0002,0.00000000000000E+0000,1.08483205647799E-0001,1.36354868024387E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 2.70000000000000E-0001,1.93323205361769E-0001,1.71317369144438E-0001,7.08598413706023E-0002,0.00000000000000E+0000,1.08942642923426E-0001,1.35207210677407E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 3.15000000000000E-0001,1.93058341258092E-0001,1.70953181914444E-0001,7.02244956296793E-0002,0.00000000000000E+0000,1.09434354475648E-0001,1.33994911527644E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 3.60000000000000E-0001,1.92794906491773E-0001,1.70586961156934E-0001,6.95759538150851E-0002,0.00000000000000E+0000,1.09943209373287E-0001,1.32757433034002E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 4.05000000000000E-0001,1.92537003032570E-0001,1.70224145534594E-0001,6.89232177330971E-0002,0.00000000000000E+0000,1.10462590150919E-0001,1.31511951485539E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 4.50000000000000E-0001,1.92286446484657E-0001,1.69867139249831E-0001,6.82702590801590E-0002,0.00000000000000E+0000,1.10989582879411E-0001,1.30266045250868E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 4.95000000000000E-0001,1.92044042535789E-0001,1.69516991825515E-0001,6.76187681553519E-0002,0.00000000000000E+0000,1.11522980422550E-0001,1.29022939578868E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 5.40000000000000E-0001,1.91810147854001E-0001,1.69174140437272E-0001,6.69693791751614E-0002,0.00000000000000E+0000,1.12062384217443E-0001,1.27783844613964E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 5.85000000000000E-0001,1.91584927289176E-0001,1.68838753427310E-0001,6.63222450936006E-0002,0.00000000000000E+0000,1.12607776974902E-0001,1.26549052206732E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 6.30000000000000E-0001,1.91368474086582E-0001,1.68510893108653E-0001,6.56773156182658E-0002,0.00000000000000E+0000,1.13159311828860E-0001,1.25318466394556E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 6.75000000000000E-0001,1.91160865573196E-0001,1.68190592864957E-0001,6.50344729973698E-0002,0.00000000000000E+0000,1.13717206326225E-0001,1.24091862496005E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 7.20000000000000E-0001,1.90962187596198E-0001,1.67877892340274E-0001,6.43935972392637E-0002,0.00000000000000E+0000,1.14281689201356E-0001,1.22869011555779E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 7.65000000000000E-0001,1.90791150643581E-0001,1.67591458797315E-0001,6.37545955568139E-0002,1.86069876117393E-0005,1.14852974446420E-0001,1.21649736527342E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 8.10000000000000E-0001,1.90880483392651E-0001,1.67563983009226E-0001,6.31174135407210E-0002,2.97711801787827E-0004,1.15431249710695E-0001,1.20341083394469E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 8.55000000000000E-0001,1.91191592905885E-0001,1.67788454599965E-0001,6.27285820880558E-0002,9.11742392975222E-0004,1.15860161575742E-0001,1.16911068491115E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 9.00000000000000E-0001,1.98153570134084E-0001,1.73316481069867E-0001,6.23435356551411E-0002,1.86069876117392E-0003,1.22959114048538E-0001,1.09902216692305E-0002,0.00000000000000E+0000,0.00000000000000E+0000 
 9.45000000000000E-0001,2.16720979019786E-0001,1.88103474320058E-0001,6.19468271373292E-0002,3.14458090638393E-0003,1.41674534204093E-0001,9.95503677198044E-0003,0.00000000000000E+0000,0.00000000000000E+0000 
 9.90000000000000E-0001,2.46931780388720E-0001,2.12187395176266E-0001,6.15393465073582E-0002,4.76338882860524E-0003,1.72006422042405E-0001,8.62262301035125E-0003,0.00000000000000E+0000,0.00000000000000E+0000 
 1.03500000000000E+0000,3.65661070145534E-0001,3.22443339543141E-0001,6.10046317194925E-0002,8.36761159063976E-0002,2.13954777563475E-0001,7.02554495616951E-0003,0.00000000000000E+0000,0.00000000000000E+0000 
